2019/7/16	Contact - List - Half-1-2 - Shanghai Greenland Shenhua-Henan Jianye		16	7	2019														
																			
Players	Time (period - mm:ss't)	Player2	Ball touch	Neutral touch	Simultaneous event	With what	Spin	Following event 	Loss and won	Loss-Gain distance	Distance	Duration	Speed	Distance to goal	Distance to referee	Angle	Direction	Zone	End zone
Jinhao (03)	1 - 06:25'9	Qian J. (26)	Pass	-	Tackle	-	-	Pass	-	14.2	14.2	00:00'9	56.7	71.7	20.6	89.66	-	B 3	C 2
Qian J. (26)	1 - 06:26'8	Jiajun (23)	Pass	-	-	-	-	Reception	-	20.9	20.9	00:01'6	46.9	59.3	9.5	-82.45	-	C 2	B 1
Jiajun (23)	1 - 06:28'4	Jiajun (23)	Reception	-	-	-	-	Running with ball	-	6.9	6.9	00:02'3	10.8	74.8	29.6	-55.73	-	B 1	B 1
Jiajun (23)	1 - 06:30'7	Jiajun (23)	Running with ball	-	-	-	-	Running with ball	-	2.1	2.1	00:01'6	4.6	80	32	-53.67	-	B 1	B 1
Jiajun (23)	1 - 06:32'3	Jiajun (23)	Running with ball	-	-	-	-	Pass	-	1	1	00:01'1	3.2	79.1	31.1	-53.07	-	B 1	B 1
Jiajun (23)	1 - 06:33'4	Zhu C. (05)	Pass	-	-	-	-	Reception	-	8.7	8.7	00:00'9	34.9	78.6	30.9	-52.85	-	B 1	B 2
Zhu C. (05)	1 - 06:34'3	Zhu C. (05)	Reception	-	-	-	-	Pass	-	2.8	2.8	00:01'3	7.9	78.6	30.5	-63.19	-	B 2	B 2
Zhu C. (05)	1 - 06:35'6	Jinhao (03)	Pass	-	-	-	-	Reception	-	19.7	19.7	00:01'8	39.5	76.1	28.2	-67.8	-	B 2	B 3
Jinhao (03)	1 - 06:37'4	Jinhao (03)	Reception	-	-	-	-	Pass	-	1.7	1.7	00:00'7	8.8	77.8	32.3	74.99	-	B 3	B 3
Jinhao (03)	1 - 06:38'1	Yunqiu (16)	Pass	-	-	-	-	Reception	-	20.5	20.5	00:01'4	52.7	76.9	31.7	72.9	-	B 3	C 4
Yunqiu (16)	1 - 06:39'5	Yunqiu (16)	Reception	-	-	-	-	Pass	-	7.8	7.8	00:02'3	12.3	73.6	35.2	53.13	-	C 4	C 4
Yunqiu (16)	1 - 06:41'8	Chen (25)	Pass	-	-	-	-	Clearance	Indiv. loss of poss.	55.5	55.5	00:04'1	48.7	69.5	30	53.53	-	C 4	F 3
Chen (25)	1 - 06:45'9	Han Xuan (04)	Clearance	-	-	Header	-	Clearance	Indiv. gain of poss.	3.1	3.1	00:01'2	9.3	91.7	18	-70.67	-	F 3	F 3
Han Xuan (04)	1 - 06:47'1	-	Clearance	-	-	-	-	Out for throw-in	Indiv. loss of poss.	42.5	42.5	00:04'8	31.9	94.1	16.7	-58.36	-	F 3	E 1
Yunding C. (28)	1 - 06:53'1	Jiajun (23)	Pass	-	Throw-in	Two hands	-	Reception	-	17.8	17.8	00:01'7	37.7	40.5	28.1	-31.89	-	E 1	D 1
Jiajun (23)	1 - 06:54'8	Jiajun (23)	Reception	-	-	-	-	Pass	-	2.2	2.2	00:01'4	5.8	47.9	23	-53.06	-	D 1	D 1
